"","x","y","order","group","region","state.name"
"232",-98.9003979999999,19.231161,6,"9.1",9,"Distrito Federal"
"233",-106.114808,26.80737,1,"10.1",10,"Durango"
"234",-105.525847,26.4835300000001,2,"10.1",10,"Durango"
"235",-105.201394,26.55871,3,"10.1",10,"Durango"
"236",-104.835969,26.4081410000001,4,"10.1",10,"Durango"
"237",-104.423844,26.820241,5,"10.1",10,"Durango"
"238",-103.720649,26.69521,6,"10.1",10,"Durango"
"239",-103.513398,26.4620490000001,7,"10.1",10,"Durango"
"240",-103.396729,25.80479,8,"10.1",10,"Durango"
"241",-103.54985,25.2501810000001,9,"10.1",10,"Durango"
"242",-103.212212,24.8347100000001,10,"10.1",10,"Durango"
"243",-102.91664,24.7503389999999,11,"10.1",10,"Durango"
"244",-102.748046,25.0268620000001,12,"10.1",10,"Durango"
"245",-102.598184,24.8444400000001,13,"10.1",10,"Durango"
"246",-102.562684,24.421801,14,"10.1",10,"Durango"
"247",-103.436577,24.4425600000001,15,"10.1",10,"Durango"
"248",-103.890137,24.05678,16,"10.1",10,"Durango"
"249",-103.823752,23.6083800000001,17,"10.1",10,"Durango"
"250",-104.024583,23.4247389999999,18,"10.1",10,"Durango"
"251",-104.138259,22.643741,19,"10.1",10,"Durango"
"252",-104.358727,22.407221,20,"10.1",10,"Durango"
"253",-104.51583,22.3023920000001,21,"10.1",10,"Durango"
"254",-104.843536,22.59132,22,"10.1",10,"Durango"
"255",-104.967322,22.467862,23,"10.1",10,"Durango"
"256",-105.051696,22.6352100000001,24,"10.1",10,"Durango"
"257",-104.892747,22.8059190000001,25,"10.1",10,"Durango"
"258",-105.628616,23.1189700000001,26,"10.1",10,"Durango"
"259",-106.121919,24.2944410000001,27,"10.1",10,"Durango"
"260",-106.41861,24.430389,28,"10.1",10,"Durango"
"261",-106.698768,24.298771,29,"10.1",10,"Durango"
"262",-107.270446,25.1238500000001,30,"10.1",10,"Durango"
"263",-107.151521,25.7144110000002,31,"10.1",10,"Durango"
"264",-106.781302,25.5871010000001,32,"10.1",10,"Durango"
"265",-106.591186,25.7444800000001,33,"10.1",10,"Durango"
"266",-106.253388,26.7512600000001,34,"10.1",10,"Durango"
"267",-106.114808,26.80737,35,"10.1",10,"Durango"
"268",-101.435416,21.8327100000001,1,"11.1",11,"Guanajuato"
"269",-100.677987,21.5345700000001,2,"11.1",11,"Guanajuato"
"270",-100.452118,21.6962310000001,3,"11.1",11,"Guanajuato"
"271",-100.061173,21.468942,4,"11.1",11,"Guanajuato"
"272",-99.763205,21.5003800000001,5,"11.1",11,"Guanajuato"
"273",-99.7429959999999,21.2275020000001,6,"11.1",11,"Guanajuato"
"274",-100.553421,20.8595510000001,7,"11.1",11,"Guanajuato"
"275",-100.368569,20.0306610000001,8,"11.1",11,"Guanajuato"
"276",-100.537163,19.90878,9,"11.1",11,"Guanajuato"
"277",-101.012108,19.9558690000001,10,"11.1",11,"Guanajuato"
"278",-101.029099,20.0675100000001,11,"11.1",11,"Guanajuato"
"279",-101.237282,19.987552,12,"11.1",11,"Guanajuato"
"280",-101.424691,20.0436300000001,13,"11.1",11,"Guanajuato"
"281",-101.46453,20.3138099999999,14,"11.1",11,"Guanajuato"
"282",-101.937638,20.1881820000002,15,"11.1",11,"Guanajuato"
"283",-102.06604,20.3691310000001,16,"11.1",11,"Guanajuato"
"284",-101.979537,20.6024010000001,17,"11.1",11,"Guanajuato"
"285",-102.133987,20.7708110000002,18,"11.1",11,"Guanajuato"
"286",-101.638893,21.3625290000001,19,"11.1",11,"Guanajuato"
"287",-101.591797,21.80366,20,"11.1",11,"Guanajuato"
"288",-101.435416,21.8327100000001,21,"11.1",11,"Guanajuato"
"289",-100.467666,18.7851709999999,1,"12.1",12,"Guerrero"
"290",-100.466027,18.4769220000001,2,"12.1",12,"Guerrero"
"291",-100.255303,18.3393010000001,3,"12.1",12,"Guerrero"
"292",-99.657517,18.71877,4,"12.1",12,"Guerrero"
"293",-98.250602,17.90996,5,"12.1",12,"Guerrero"
"294",-98.2374559999999,17.185391,6,"12.1",12,"Guerrero"
"295",-98.0215539999999,16.9041000000001,7,"12.1",12,"Guerrero"
"296",-98.376427,16.4492,8,"12.1",12,"Guerrero"
"297",-98.5562499999999,16.3190270000001,9,"12.1",12,"Guerrero"
"298",-98.7731919999999,16.554583,10,"12.1",12,"Guerrero"
"299",-99.6801379999999,16.70375,11,"12.1",12,"Guerrero"
"300",-101.061531,17.265138,12,"12.1",12,"Guerrero"
"301",-101.815971,17.89236,13,"12.1",12,"Guerrero"
"302",-102.170517,17.98031,14,"12.1",12,"Guerrero"
"303",-102.165139,18.175101,15,"12.1",12,"Guerrero"
"304",-101.812652,18.2710000000001,16,"12.1",12,"Guerrero"
"305",-101.849663,18.5644799999999,17,"12.1",12,"Guerrero"
"306",-101.037773,18.5029410000001,18,"12.1",12,"Guerrero"
"307",-100.661171,18.3051800000001,19,"12.1",12,"Guerrero"
"308",-100.78955,18.784749,20,"12.1",12,"Guerrero"
"309",-100.419669,19.0605110000001,21,"12.1",12,"Guerrero"
"310",-100.467666,18.7851709999999,22,"12.1",12,"Guerrero"
"311",-98.5505819999999,21.409121,1,"13.1",13,"Hidalgo"
"312",-98.110176,21.0681700000001,2,"13.1",13,"Hidalgo"
"313",-98.1918489999999,20.832309,3,"13.1",13,"Hidalgo"
"314",-98.4619599999999,20.7388710000001,4,"13.1",13,"Hidalgo"
"315",-98.4471599999999,20.356019,5,"13.1",13,"Hidalgo"
"316",-97.937957,20.623002,6,"13.1",13,"Hidalgo"
"317",-98.2304,20.2987580000001,7,"13.1",13,"Hidalgo"
"318",-98.100455,20.1892210000001,8,"13.1",13,"Hidalgo"
"319",-98.165267,19.699309,9,"13.1",13,"Hidalgo"
"320",-98.674797,19.5501600000001,10,"13.1",13,"Hidalgo"
"321",-98.6160659999999,19.8265720000001,11,"13.1",13,"Hidalgo"
"322",-98.9519589999999,19.710069,12,"13.1",13,"Hidalgo"
"323",-98.892662,20.0706190000001,13,"13.1",13,"Hidalgo"
"324",-99.359384,19.7212299999999,14,"13.1",13,"Hidalgo"
"325",-99.4938569999999,20.1409690000001,15,"13.1",13,"Hidalgo"
"326",-99.8622659999999,20.3072120000001,16,"13.1",13,"Hidalgo"
"327",-99.827393,20.545459,17,"13.1",13,"Hidalgo"
"328",-99.5128859999999,20.684892,18,"13.1",13,"Hidalgo"
"329",-99.3148489999999,21.1528390000001,19,"13.1",13,"Hidalgo"
"330",-98.9594499999999,21.321199,20,"13.1",13,"Hidalgo"
"331",-98.809998,21.1923,21,"13.1",13,"Hidalgo"
"332",-98.5505819999999,21.409121,22,"13.1",13,"Hidalgo"
"333",-103.879867,22.6668920000001,1,"14.1",14,"Jalisco"
"334",-103.774566,22.6178700000001,2,"14.1",14,"Jalisco"
"335",-103.906448,22.14912,3,"14.1",14,"Jalisco"
"336",-103.842309,22.4557100000001,4,"14.1",14,"Jalisco"
"337",-103.696937,22.4934410000001,5,"14.1",14,"Jalisco"
"338",-103.545158,22.328219,6,"14.1",14,"Jalisco"
"339",-103.679367,22.039881,7,"14.1",14,"Jalisco"
"340",-103.459991,22.05868,8,"14.1",14,"Jalisco"
"341",-103.297441,22.32651,9,"14.1",14,"Jalisco"
"342",-103.087899,22.188449,10,"14.1",14,"Jalisco"
"343",-103.704795,21.4802900000001,11,"14.1",14,"Jalisco"
"344",-103.558067,21.31675,12,"14.1",14,"Jalisco"
